# 节点数  边数   ,108363  293298
34610,45971
34610,4757
34610,11941
34610,90126
34610,91360
34610,56242
34610,7370
34610,33618
34610,45963
34610,6455
34610,42767
34610,92974
34610,38470
34610,16582
34610,47983
34610,4276
34610,55472
34610,45473
34610,50586
34610,18447
34610,79590
34610,82278
34610,28491
34610,17043
34610,83800
34610,6857
34610,44017
34610,41149
34610,1624
34610,82455
34610,48837
34610,90111
34610,52113
34610,46311
34610,24151
34610,14465
34610,54891
34610,82798
34610,47572
34610,92644
34610,106831
34610,50883
34610,84646
34610,56324
34610,35305
34610,96208
34610,43332
34610,56054
34610,6986
34610,96274
34610,54833
34610,37117
34610,26879
34610,93126
34610,27713
34610,86051
34610,25366
34610,96640
34610,36757
34610,35541
34610,37655
34610,52351
34610,37797
34610,25590
34610,29957
34610,91869
34610,90269
34610,78469
34610,3089
34610,41872
34610,80958
34610,28268
34610,78020
34610,42915
34610,85079
34610,25297
34610,12195
34610,69071
34610,36477
34610,26604
34610,76620
34610,1913
34610,55425
34610,26113
34610,82680
34610,54287
34610,56443
34610,14460
34610,101233
34610,5763
34610,79596
34610,17092
34610,928
34610,86272
34610,12337
34610,43194
34610,46225
34610,54002
34610,24884
34610,84218
34610,10889
34610,75994
34610,6554
34610,54132
34610,42467
34610,40025
34610,24465
34610,45547
34610,77245
34610,25127
34610,53566
34610,44710
34610,44268
34610,35993
34610,85515
34610,55594
34610,24432
34610,90138
34610,47641
34610,52134
34610,25124
34610,35243
34610,62633
34610,94317
34610,103751
34610,11974
34610,77866
34610,19902
34610,40486
34610,77725
34610,24860
34610,33796
34610,65426
34610,6892
34610,4658
34610,55641
34610,98310
34610,75534
34610,12356
34610,75421
34610,40886
34610,28819
34610,91773
34610,26704
34610,85382
34610,92691
34610,40300
34610,53717
34610,31581
34610,46400
34610,39125
34610,43020
34610,79366
34610,26381
34610,47724
34610,55535
34610,785
34610,23480
34610,31991
34610,85941
34610,32764
34610,6736
34610,54131
34610,40996
34610,86024
34610,94196
34610,77640
34610,44637
34610,35655
34610,52642
34610,2627
34610,104128
34610,84635
34610,25242
34610,56156
34610,9433
34610,10212
34610,76144
34610,23356
34610,75940
34610,88057
34610,32858
34610,23878
34610,53739
34610,40405
34610,10566
34610,6428
34610,52341
34610,55684
34610,76987
34610,11234
34610,42137
34610,31336
34610,43179
34610,38075
34610,78318
34610,36639
34610,91479
34610,23800
34610,7972
34610,84511
34610,1642
34610,18319
34610,82909
34610,26905
34610,3821
34610,85325
34610,53143
34610,71507
34610,44225
34610,94598
34610,35298
34610,28982
34610,23391
34610,104010
34610,44181
34610,31943
34610,33967
34610,77639
34610,24306
34610,52271
34610,25624
34610,38461
34610,51881
34610,4170
34610,83110
34610,4710
34610,79697
34610,56349
34610,80104
34610,77716
34610,62386
34610,49664
34610,52827
34610,71731
34610,56426
34610,90257
34610,108122
34610,41697
34610,76000
34610,105035
34610,91754
34610,8776
34610,20612
34610,53495
34610,100691
34610,98704
34610,65517
34610,79212
34610,10526
34610,43059
34610,90727
34610,105529
34610,24989
34610,46119
34610,26093
34610,102066
34610,49273
34610,3956
34610,29052
34610,44143
34610,55715
34610,22506
34610,25734
34610,18853
34610,82121
34610,93312
34610,24654
34610,2623
34610,40661
34610,5318
34610,34336
34610,45917
34610,61538
34610,31136
34610,50752
34610,16734
34610,108120
34610,95823
34610,62614
34610,105256
34610,71999
34610,39584
34610,52672
34610,44472
34610,33162
34610,105549
34610,62497
34610,90803
34610,78486
34610,3518
34610,83920
34610,23083
34610,181
34610,30289
34610,83881
34610,75775
34610,81642
34610,52427
34610,22098
34610,21790
34610,77912
34610,105486
34610,100207
34610,37555
34610,46816
34610,56109
34610,97689
34610,42864
34610,56261
34610,2677
34610,67213
34610,55581
34610,34877
34610,75593
34610,85954
34610,47064
34610,77361
34610,82187
34610,27024
34610,2019
34610,43069
34610,29419
34610,7074
34610,34487
34610,77363
34610,51127
34610,37884
34610,80741
34610,25155
34610,41116
34610,5861
34610,77484
34610,46467
34610,42874
34610,12178
34610,57899
34610,534
34610,64012
34610,9572
34610,92676
34610,93349
34610,52637
34610,52247
34610,18507
34610,55476
34610,25289
34610,52754
34610,76877
34610,1448
34610,27907
34610,41865
34610,56517
34610,89792
34610,52269
34610,91552
34610,29292
34610,32847
34610,50783
34610,47439
34610,14461
34610,88041
34610,108143
34610,24256
34610,11451
34610,52620
34610,7273
34610,83934
34610,90624
34610,76790
34610,91815
34610,36844
34610,77712
34610,94985
34610,16983
34610,37713
34610,98710
34610,25165
34610,55546
34610,25251
34610,28226
34610,97812
34610,20520
34610,55683
34610,61850
34610,33717
